p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
47	3.28412135491623e-102	3.77329755079677	0.169	0.004	2.4072609531536e-99	5	TF.RELA.TG.EGFR.mode.A.TG.HI
48	6.47628257861181e-87	4.09943871095646	0.128	0.002	4.74711513012246e-84	5	TF.RELA.TG.BMP2.mode.A.TG.HI
49	2.67036846905517e-81	3.86839356694742	0.121	0.002	1.95738008781744e-78	5	TF.RELA.TG.NOLC1.mode.A.TG.HI
50	5.05404087874411e-66	3.70196392667318	0.097	0.002	3.70461196411943e-63	5	TF.RELA.TG.MAT2A.mode.A.TG.HI
51	2.23710543452488e-58	3.44974309440179	0.09	0.002	1.63979828350674e-55	5	TF.RELA.TG.IL10.mode.A.TG.HI
52	2.62287972021908e-43	3.52097519730916	0.066	0.001	1.92257083492059e-40	5	TF.RELA.TG.TBP.mode.A.TG.HI
53	5.42637372533091e-156	4.67806373599616	0.198	0.001	3.97753194066756e-153	6	TF.RELA.TG.TLR7.mode.A.TG.LW
54	1.01822023299639e-147	4.0778192698953	0.218	0.003	7.46355430786356e-145	6	TF.RELA.TG.SERPINB1.mode.A.TG.LW
55	1.57138067210647e-127	3.99446573727446	0.191	0.003	1.15182203265404e-124	6	TF.RELA.TG.IL10.mode.A.TG.LW
56	3.1370483035315e-127	4.06564058866281	0.175	0.002	2.29945640648859e-124	6	TF.RELA.TG.EGFR.mode.A.TG.LW
57	7.87446036683655e-107	4.00845357567173	0.16	0.003	5.77197944889119e-104	6	TF.RELA.TG.BACE1.mode.R.TG.HI
58	3.61217395940327e-93	4.52839073634511	0.113	0	2.64772351224259e-90	6	TF.RELA.TG.TNFRSF10B.mode.A.TG.LW
59	1.92394820740765e-83	4.06300426132096	0.109	0.001	1.41025403602981e-80	6	TF.RELA.TG.CCL22.mode.A.TG.LW
60	6.62093673478939e-73	3.9277482169725	0.109	0.002	4.85314662660062e-70	6	TF.RELA.TG.CTSB.mode.A.TG.LW
61	9.51584158092878e-66	3.68830364501147	0.097	0.002	6.9751118788208e-63	6	TF.RELA.TG.TBP.mode.A.TG.LW
62	3.14185451595654e-61	3.76238959027814	0.086	0.001	2.30297936019614e-58	6	TF.RELA.TG.REPS2.mode.R.TG.HI
63	5.34806731362759e-96	2.56935290634992	0.365	0.042	3.92013334088902e-93	7	TF.STAT3.TG.EGFR.mode.A.TG.HI
64	2.27780058056958e-74	2.57115633453048	0.253	0.024	1.6696278255575e-71	7	TF.STAT3.TG.NME1.mode.A.TG.HI
65	3.10382157411515e-74	2.13723299947057	0.353	0.051	2.2751012138264e-71	7	TF.STAT3.TG.PTEN.mode.A.TG.HI
66	4.31818758430584e-56	2.54827550977421	0.22	0.025	3.16523149929618e-53	7	TF.STAT3.TG.CCND3.mode.A.TG.HI
67	1.50567446689346e-42	2.53403701952502	0.154	0.016	1.10365938423291e-39	7	TF.STAT3.TG.TYK2.mode.R.TG.LW
68	1.36750890878267e-30	2.06566940261984	0.145	0.021	1.0023840301377e-27	7	TF.STAT3.TG.MMP2.mode.R.TG.LW
69	1.76167556476027e-26	2.40696554260752	0.104	0.012	1.29130818896928e-23	7	TF.STAT3.TG.IFNAR1.mode.A.TG.HI
70	1.27386040534949e-22	2.13138430657541	0.104	0.014	9.33739677121179e-20	7	TF.KAT5.TG.STAT3.mode.R.TG.HI
71	1.83996865766724e-20	2.02201619308217	0.091	0.012	1.34869702607009e-17	7	TF.STAT3.TG.LGALS3BP.mode.R.TG.LW
72	5.25766600599593e-19	2.18271580260816	0.066	0.007	3.85386918239502e-16	7	TF.STAT3.TG.F2R.mode.A.TG.HI
73	5.19980799129338e-193	4.29899097434493	0.276	0.003	3.81145925761805e-190	8	TF.APC.TG.MYC.mode.R.TG.HI
74	1.33891470972601e-161	4.23881602861857	0.241	0.003	9.81424482229167e-159	8	TF.MYC.TG.SRSF1.mode.A.TG.HI
75	6.44052012807298e-149	4.82852130029864	0.187	0.001	4.7209012538775e-146	8	TF.MYC.TG.ODC1.mode.A.TG.HI
76	4.02754944629196e-108	4.07955472232449	0.163	0.002	2.95219374413201e-105	8	TF.MYC.TG.NOL7.mode.A.TG.HI
77	1.07959443118978e-101	3.92565538817777	0.167	0.003	7.91342718062107e-99	8	TF.MYC.TG.XPO1.mode.A.TG.HI
78	7.41146631893184e-83	3.92177841862293	0.128	0.002	5.43260481177704e-80	8	TF.MYC.TG.CFLAR.mode.R.TG.LW
79	5.67923610020572e-82	3.43400722960285	0.167	0.006	4.16288006145079e-79	8	TF.MYC.TG.TFRC.mode.A.TG.HI
80	2.1247257890462e-75	4.03055467340156	0.108	0.001	1.55742400337087e-72	8	TF.MYC.TG.CCND2.mode.A.TG.HI
81	7.37418496733901e-66	3.54516181507776	0.118	0.003	5.40527758105949e-63	8	TF.EP300.TG.MYC.mode.R.TG.HI
82	2.25236900454359e-59	3.49206960840747	0.099	0.002	1.65098648033045e-56	8	TF.MYC.TG.TNFRSF10B.mode.A.TG.HI
83	7.27437874958469e-203	4.33755718617997	0.273	0.002	5.33211962344558e-200	9	TF.MYC.TG.XPO1.mode.A.TG.LW
84	7.08778947214771e-189	4.29463188491472	0.253	0.002	5.19534968308427e-186	9	TF.MYC.TG.CHEK1.mode.A.TG.LW
85	1.17619425335606e-166	4.06770578058141	0.242	0.003	8.62150387709991e-164	9	TF.MYC.TG.TNFRSF10B.mode.A.TG.LW
86	2.91318680931325e-135	4.46723872704151	0.18	0.001	2.13536593122661e-132	9	TF.MYC.TG.HLA-E.mode.A.TG.LW
87	1.45788119800066e-134	4.12204160762465	0.196	0.002	1.06862691813448e-131	9	TF.APC.TG.MYC.mode.R.TG.LW
88	2.0492122310096e-114	4.34773014248645	0.16	0.002	1.50207256533004e-111	9	TF.JUN.TG.MYC.mode.R.TG.LW
89	3.54935946486726e-109	3.67836661356402	0.191	0.004	2.6016804877477e-106	9	TF.MYC.TG.TFRC.mode.A.TG.LW
90	3.76287604034702e-79	3.61002253371781	0.134	0.003	2.75818813757437e-76	9	TF.MYC.TG.SRSF1.mode.A.TG.LW
91	5.2536706814861e-76	3.73680483074915	0.124	0.002	3.85094060952931e-73	9	TF.ENO1.TG.MYC.mode.R.TG.LW
92	1.45878343098824e-67	3.73886568636994	0.103	0.002	1.06928825491438e-64	9	TF.CTCF.TG.MYC.mode.R.TG.LW
93	1.17363111956816e-221	3.59032021690312	0.408	0.011	8.6027161064346e-219	10	TF.SP1.TG.INSR.mode.A.TG.LW
94	1.29728673710143e-186	4.00722157642678	0.298	0.005	9.50911178295345e-184	10	TF.SP1.TG.ATP2A2.mode.A.TG.LW
95	1.86080651513035e-132	3.90395602826442	0.215	0.004	1.36397117559054e-129	10	TF.SP1.TG.ABCA1.mode.A.TG.LW
96	1.75688041954672e-119	4.03870860628041	0.178	0.002	1.28779334752775e-116	10	TF.SP1.TG.KCNQ2.mode.A.TG.LW
97	1.48650230591423e-106	3.73018452404662	0.162	0.002	1.08960619023513e-103	10	TF.SP1.TG.IRS2.mode.A.TG.LW
98	1.03896910410285e-95	3.77481576560342	0.168	0.004	7.61564353307386e-93	10	TF.SP1.TG.CD151.mode.A.TG.LW
99	3.36944270799854e-63	3.16601240039789	0.105	0.002	2.46980150496293e-60	10	TF.SP1.TG.PPP2R2B.mode.A.TG.LW
100	1.91316752293721e-60	3.28686776834461	0.11	0.003	1.40235179431298e-57	10	TF.SP1.TG.TNFSF14.mode.A.TG.LW
101	3.03709191326051e-60	3.46403136384828	0.094	0.002	2.22618837241995e-57	10	TF.SP1.TG.VAMP2.mode.A.TG.LW
102	2.41202577359182e-43	3.44398496955653	0.079	0.002	1.76801489204281e-40	10	TF.SP1.TG.ADAM10.mode.A.TG.LW
103	0	5.23747805213785	0.546	0.003	0	11	TF.EGR2.TG.SCD5.mode.R.TG.LW
104	4.00183240395577e-203	5.00988241531533	0.265	0.002	2.93334315209958e-200	11	TF.REL.TG.CDKN1A.mode.A.TG.HI
105	3.16801750348512e-186	4.38122122204401	0.292	0.005	2.3221568300546e-183	11	TF.ETS2.TG.MDM2.mode.A.TG.HI
106	1.031626499299e-182	5.46863996539393	0.211	0	7.56182223986164e-180	11	TF.KLF6.TG.CDKN1A.mode.A.TG.HI
107	3.43374998273718e-177	4.51419912138376	0.259	0.003	2.51693873734635e-174	11	TF.STAT3.TG.ZFP36.mode.A.TG.HI
108	1.13838871626815e-62	3.50242317459875	0.114	0.003	8.34438929024552e-60	11	TF.EGR1.TG.CDKN1A.mode.A.TG.HI
109	6.35151637202756e-48	4.1928408007017	0.054	0	4.6556615006962e-45	11	TF.ZFHX3.TG.CDKN1A.mode.A.TG.HI
110	3.39140942438836e-34	2.75653679423219	0.092	0.005	2.48590310807667e-31	11	TF.HIPK2.TG.MEF2C.mode.R.TG.HI
111	1.4253835940083e-32	3.03052965436347	0.076	0.003	1.04480617440809e-29	11	TF.IRF1.TG.CDKN1A.mode.R.TG.HI
112	2.67835915048886e-22	2.91458141585568	0.07	0.005	1.96323725730833e-19	11	TF.POU5F1.TG.CDKN1A.mode.R.TG.HI
113	7.37514811324655e-148	3.53955067030962	0.456	0.013	5.40598356700972e-145	12	TF.SP1.TG.INSR.mode.A.TG.HI
114	7.85953514950076e-116	3.79135383857878	0.324	0.008	5.76103926458406e-113	12	TF.SP1.TG.ATP2A2.mode.A.TG.HI
115	4.14341007353837e-97	3.98320838458613	0.25	0.005	3.03711958390363e-94	12	TF.SP1.TG.ABCA1.mode.A.TG.HI
116	4.63084208992429e-87	4.30840988889614	0.162	0.002	3.39440725191451e-84	12	TF.SP1.TG.TNFSF14.mode.A.TG.HI
117	5.79485986234219e-74	3.96062695729171	0.176	0.003	4.24763227909683e-71	12	TF.SP1.TG.VAMP2.mode.A.TG.HI
118	3.44609971978155e-57	3.53887779661581	0.162	0.004	2.52599109459987e-54	12	TF.SP1.TG.PPP2R2B.mode.A.TG.HI
119	4.5556955335422e-55	3.8964851242692	0.132	0.002	3.33932482608643e-52	12	TF.SP1.TG.BLMH.mode.A.TG.HI
120	6.96399389262782e-54	3.59601939257729	0.176	0.005	5.10460752329619e-51	12	TF.SP1.TG.APP.mode.A.TG.HI
121	1.89020973193384e-37	3.57529639833953	0.118	0.003	1.3855237335075e-34	12	TF.SP1.TG.CDKN1B.mode.A.TG.HI
122	8.67103928130694e-24	3.65015314561779	0.059	0.001	6.35587179319798e-21	12	TF.SP1.TG.ABCB8.mode.A.TG.HI
